0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Date,Campaign Domain,Total Sessions,Mobile Sessions,Desktop Sessions,Mobile Sessions %,Distinct IPs,Distinct Mobile IPs,Distinct Desktop IPs,Distinct Mobile IPs %,Searches,Clicks,Estimated Gross Revenue,Revenue Per Session,Revenue Per Search,Revenue Per IP,Revenue Per Click,Clicks Per Session %
2023-09-30,a-great-ar-cadena-de-bloques.fyi,20,5,15,25,17,5,12,29.41,0,0,0,0,0,0,0,0
2023-09-30,a-great-ar-coches-usados.fyi,13,8,5,61.54,10,6,4,60,0,0,0,0,0,0,0,0
2023-09-30,a-great-ar-crucero.fyi,16,3,13,18.75,16,3,13,18.75,4,5,0.37,0.02,0.09,0.02,0.07,31.25
2023-09-30,a-great-ar-ofertas-de-telefonia-movil.fyi,18,7,11,38.89,15,5,10,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-great-ar-telefono-inteligente.zone,24,10,14,41.67,22,8,14,36.36,0,0,0,0,0,0,0,0
2023-09-30,a-great-argentina-negocio-en-linea.fyi,12,3,9,25,9,3,6,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-great-aspiradoras-mexico.zone,10,6,4,60,8,4,4,50,0,0,0,0,0,0,0,0
2023-09-30,a-great-australia-televisions.zone,15,6,9,40,12,4,8,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-great-black-friday-deals-usa.fyi,50,24,26,48,23,5,19,21.74,0,0,0,0,0,0,0,0
2023-09-30,a-great-chile-televisores.zone,15,10,5,66.67,12,8,4,66.67,0,0,0,0,0,0,0,0
2023-09-30,a-great-cl-codificacion.fyi,6,3,3,50,6,3,3,50,0,0,0,0,0,0,0,0
2023-09-30,a-great-cl-cursos-online.fyi,27,2,25,7.41,12,2,10,16.67,0,0,0,0,0,0,0,0
2023-09-30,a-great-cl-trabajos-en-linea.fyi,16,4,12,25,13,4,9,30.77,0,0,0,0,0,0,0,0
2023-09-30,a-great-co-cuidado-dental.fyi,25,2,23,8,22,2,20,9.09,0,0,0,0,0,0,0,0
2023-09-30,a-great-co-motocicleta.fyi,14,3,11,21.43,9,3,8,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-great-co-tarjeta-credito.zone,20,7,13,35,15,5,10,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-great-columbia-televisiors.fyi,9,1,8,11.11,8,1,7,12.5,0,0,0,0,0,0,0,0
2023-09-30,a-great-costa-rica-cursos-de-marketing-digital.zone,22,7,15,31.82,19,5,14,26.32,0,0,0,0,0,0,0,0
2023-09-30,a-great-cr-coches-usados.fyi,21,9,12,42.86,18,9,9,50,0,0,0,0,0,0,0,0
2023-09-30,a-great-cr-prestamos.zone,17,5,12,29.41,13,3,10,23.08,0,0,0,0,0,0,0,0
2023-09-30,a-great-cr-universidades.zone,15,6,9,40,11,4,7,36.36,0,0,0,0,0,0,0,0
2023-09-30,a-great-de-suvs.zone,18,5,13,27.78,14,3,11,21.43,0,0,0,0,0,0,0,0
2023-09-30,a-great-dental-insurance.fyi,15,3,12,20,12,1,11,8.33,0,0,0,0,0,0,0,0
2023-09-30,a-great-dentalimplants-mx.zone,33,23,10,69.7,22,13,9,59.09,4,3,0.25,0.01,0.06,0.01,0.08,9.09
2023-09-30,a-great-ec-becas-mba.zone,46,40,6,86.96,14,8,6,57.14,2,1,0.29,0.01,0.15,0.02,0.29,2.17
2023-09-30,a-great-ec-marketing-digital.fyi,26,1,25,3.85,22,1,21,4.55,0,0,0,0,0,0,0,0
2023-09-30,a-great-ec-tarjetas-de-credito.zone,20,9,11,45,17,6,11,35.29,0,0,0,0,0,0,0,0
2023-09-30,a-great-ec-universidad.fyi,12,3,9,25,11,3,8,27.27,0,0,0,0,0,0,0,0
2023-09-30,a-great-ecuador-negocio-en-linea.fyi,13,5,8,38.46,12,5,7,41.67,0,0,0,0,0,0,0,0
2023-09-30,a-great-ee-credit-cards.fyi,14,4,10,28.57,14,4,10,28.57,0,0,0,0,0,0,0,0
2023-09-30,a-great-es-coches-usados.fyi,20,3,17,15,20,3,17,15,0,0,0,0,0,0,0,0
2023-09-30,a-great-estudia-y-trabaja-en-canada-chile.fyi,12,3,9,25,11,3,8,27.27,0,0,0,0,0,0,0,0
2023-09-30,a-great-estudia-y-trabaja-en-canada-colombia.fyi,10,2,8,20,9,2,7,22.22,0,0,0,0,0,0,0,0
2023-09-30,a-great-fr-carte-de-credit.fyi,37,26,11,70.27,13,3,10,23.08,0,0,0,0,0,0,0,0
2023-09-30,a-great-gt-coche-usado.fyi,23,14,9,60.87,18,11,7,61.11,17,10,0.89,0.04,0.05,0.05,0.09,43.48
2023-09-30,a-great-guatemala-cursos-de-marketing-digital.fyi,18,6,12,33.33,15,4,11,26.67,0,0,0,0,0,0,0,0
2023-09-30,a-great-hn-codificacion.zone,12,4,8,33.33,9,2,7,22.22,0,0,0,0,0,0,0,0
2023-09-30,a-great-in-coding.fyi,21,5,16,23.81,15,3,12,20,0,0,0,0,0,0,0,0
2023-09-30,a-great-in-credit-cards.fyi,10,2,8,20,10,2,8,20,0,0,0,0,0,0,0,0
2023-09-30,a-great-india-dropshipping.zone,19,5,14,26.32,14,3,11,21.43,0,0,0,0,0,0,0,0
2023-09-30,a-great-india-real-estate-courses.fyi,11,4,7,36.36,8,2,6,25,0,0,0,0,0,0,0,0
2023-09-30,a-great-india-real-estate-in-the-usa.fyi,18,3,15,16.67,16,3,13,18.75,0,0,0,0,0,0,0,0
2023-09-30,a-great-india-social-media-marketing.fyi,21,5,16,23.81,20,5,15,25,0,0,0,0,0,0,0,0
2023-09-30,a-great-india-truck-driving-jobs-in-usa.fyi,10,4,6,40,9,3,6,33.33,0,0,0,0,0,0,0,0
2023-09-30,a-great-ke-used-cars.fyi,19,3,16,15.79,16,3,13,18.75,0,0,0,0,0,0,0,0
2023-09-30,a-great-latam-metodologias-agiles.fyi,29,17,12,58.62,8,5,3,62.5,0,0,0,0,0,0,0,0
2023-09-30,a-great-latin-america-online-masters.fyi,19,6,13,31.58,16,6,11,37.5,0,0,0,0,0,0,0,0
2023-09-30,a-great-mba-en-linea.fyi,16,2,14,12.5,15,2,13,13.33,0,0,0,0,0,0,0,0
2023-09-30,a-great-mexico-publicidad-digital.zone,20,7,13,35,16,5,11,31.25,0,0,0,0,0,0,0,0
2023-09-30,a-great-mx-autos-usados-de-usa.zone,17,6,11,35.29,13,4,9,30.77,0,0,0,0,0,0,0,0
2023-09-30,a-great-mx-celulares-con-camara.fyi,17,3,14,17.65,16,3,13,18.75,0,0,0,0,0,0,0,0
2023-09-30,a-great-mx-credit-cards.zone,22,10,12,45.45,17,8,9,47.06,0,0,0,0,0,0,0,0
2023-09-30,a-great-mx-cursos-de-ingles.fyi,11,2,9,18.18,10,2,8,20,0,0,0,0,0,0,0,0
2023-09-30,a-great-mx-hipoteca.zone,16,4,12,25,12,2,10,16.67,0,0,0,0,0,0,0,0
2023-09-30,a-great-mx-marketing.fyi,10,2,8,20,8,2,6,25,0,0,0,0,0,0,0,0
2023-09-30,a-great-mx-televisores-viernes-negro.fyi,39,23,16,58.97,15,4,12,26.67,0,0,0,0,0,0,0,0
2023-09-30,a-great-native-home-alarm-mx.fyi,14,2,12,14.29,14,2,12,14.29,0,0,0,0,0,0,0,0
2023-09-30,a-great-new-car-eng-intl.fyi,24,6,18,25,20,4,16,20,0,0,0,0,0,0,0,0
2023-09-30,a-great-new-car-es-intl.fyi,9,1,8,11.11,9,1,8,11.11,0,0,0,0,0,0,0,0
2023-09-30,a-great-nz-credit-card.fyi,11,3,8,27.27,11,3,8,27.27,0,0,0,0,0,0,0,0
2023-09-30,a-great-online-dig-marketing-span-gen.fyi,10,4,6,40,9,4,5,44.44,0,0,0,0,0,0,0,0
2023-09-30,a-great-online-masters-latam-sec.fyi,205,170,35,82.93,112,91,21,81.25,38,20,1.76,0.01,0.05,0.02,0.09,9.76
2023-09-30,a-great-online-university-chile.fyi,29,7,22,24.14,22,5,17,22.73,0,0,0,0,0,0,0,0
2023-09-30,a-great-online-university-pe.fyi,19,7,12,36.84,13,5,8,38.46,0,0,0,0,0,0,0,0
2023-09-30,a-great-pa-prestamos-personales.fyi,68,51,17,75,46,30,16,65.22,11,7,0.61,0.01,0.06,0.01,0.09,10.29
2023-09-30,a-great-pe-prestamos.fyi,55,37,18,67.27,25,13,14,52,0,0,0,0,0,0,0,0
2023-09-30,a-great-pe-tarjetas-de-credito.fyi,13,6,7,46.15,11,4,7,36.36,0,0,0,0,0,0,0,0
2023-09-30,a-great-pe-uni-en-linea.fyi,2408,2377,31,98.71,2201,2184,18,99.23,1540,743,172.98,0.07,0.11,0.08,0.23,30.86
2023-09-30,a-great-puerto-rico-cursos-de-marketing-digital.fyi,22,11,11,50,19,9,10,47.37,0,0,0,0,0,0,0,0
2023-09-30,a-great-puerto-rico-cursos-de-marketing.zone,24,11,13,45.83,20,7,13,35,0,0,0,0,0,0,0,0
2023-09-30,a-great-singapore-televisions.fyi,11,1,10,9.09,9,1,8,11.11,0,0,0,0,0,0,0,0
2023-09-30,a-great-south-africe-stock-trading-for-beginners.fyi,11,2,9,18.18,10,2,8,20,0,0,0,0,0,0,0,0
2023-09-30,a-great-trabajar-casa-mx.fyi,52,36,16,69.23,16,5,11,31.25,0,0,0,0,0,0,0,0
2023-09-30,a-great-united-arab-emirates-education.fyi,18,7,11,38.89,17,7,10,41.18,0,0,0,0,0,0,0,0
2023-09-30,a-great-united-arab-emirates-real-estate.fyi,12,5,7,41.67,10,3,7,30,0,0,0,0,0,0,0,0
2023-09-30,a-great-united-kingdom-cheap-airline-tickets.fyi,11,4,7,36.36,8,2,6,25,0,0,0,0,0,0,0,0
2023-09-30,a-great-united-kingdom-dog-food.fyi,12,2,10,16.67,11,2,9,18.18,0,0,0,0,0,0,0,0
2023-09-30,a-great-united-kingdom-jobs.fyi,17,4,13,23.53,17,4,13,23.53,0,0,0,0,0,0,0,0
